DeviceID,PeripheralID,Name,MotionType,PositionScale,VelocityScale,AccelerationScale,ForceScale,IsScaleResolutionDependent
13,0,T-LA13A Actuator,Linear,157480.314961,16797.900262,13.998250,0.000000,1,
28,0,T-LA28A Actuator,Linear,157480.314961,16797.900262,13.998250,0.000000,1,
60,0,T-LA60A Actuator,Linear,157480.314961,16797.900262,13.998250,0.000000,1,
80,0,T-LS80 Stage,Linear,157480.314961,16797.900262,13.998250,0.000000,1,
113,0,T-LS13 (rev 1) Stage,Linear,157480.314961,16797.900262,13.998250,0.000000,1,
128,0,T-LS28 (rev 1) Stage,Linear,157480.314961,16797.900262,13.998250,0.000000,1,
180,0,T-LS80 Stage,Linear,157480.314961,16797.900262,13.998250,0.000000,1,
228,0,T-HLA28 Actuator,Linear,157480.314961,16797.900262,13.998250,0.000000,1,
302,0,T-MM2 Mirror Mount,Tangential,10497.637795,0.000000,0.000000,0.000000,1,
303,0,T-MM2-V Mirror Mount,Tangential,10497.637795,0.000000,0.000000,0.000000,1,
311,0,T-OMG (azimuth) Mirror Mount,Tangential,7759.186352,0.000000,0.000000,0.000000,1,
312,0,T-OMG (elevation) Mirror Mount,Tangential,15518.372703,0.000000,0.000000,0.000000,1,
313,0,T-OMG-V (azimuth) Mirror Mount,Tangential,7759.186352,0.000000,0.000000,0.000000,1,
314,0,T-OMG-V (elevation) Mirror Mount,Tangential,15518.372703,0.000000,0.000000,0.000000,1,
413,0,T-LS13 Stage,Linear,78740.157480,8398.950131,6.999125,0.000000,1,
428,0,T-LS28 Stage,Linear,78740.157480,8398.950131,6.999125,0.000000,1,
560,0,T-RS60A Stage,Rotary,66.666667,7.111111,0.005926,0.000000,1,
561,0,T-RS60A-S Stage,Rotary,66.666667,7.111111,0.005926,0.000000,1,
562,0,T-RS60-SV Stage,Rotary,66.666667,7.111111,0.005926,0.000000,1,
564,0,T-RS60C Stage,Rotary,16.666667,1.777778,0.001481,0.000000,1,
565,0,T-RS60C-S Stage,Rotary,16.666667,1.777778,0.001481,0.000000,1,
570,0,T-RSW60A Stage,Rotary,66.666667,7.111111,0.005926,0.000000,1,
571,0,T-RSW60A-S Stage,Rotary,66.666667,7.111111,0.005926,0.000000,1,
574,0,T-RSW60C Stage,Rotary,16.666667,1.777778,0.001481,0.000000,1,
575,0,T-RSW60C-S Stage,Rotary,16.666667,1.777778,0.001481,0.000000,1,
600,0,T-NM Motor,Rotary,0.555556,0.059259,0.000049,0.000000,1,
601,0,T-NM17 Motor,Rotary,0.555556,0.059259,0.000049,0.000000,1,
